iter	Passed	Remaining
335	571	1128
336	572	1126
337	573	1123
338	574	1121
339	576	1118
340	577	1115
341	579	1114
342	580	1111
343	581	1109
344	583	1107
345	584	1104
346	585	1101
347	586	1099
348	588	1096
349	589	1094
350	590	1091
351	591	1089
352	593	1087
353	594	1085
354	596	1083
355	597	1081
356	598	1078
357	600	1076
358	601	1074
359	603	1072
360	604	1069
361	605	1067
362	606	1064
363	607	1062
364	609	1060
365	611	1058
366	612	1056
367	613	1053
368	614	1051
369	616	1049
370	617	1047
371	619	1045
372	620	1042
373	621	1040
374	622	1037
375	624	1036
376	625	1033
377	626	1031
378	627	1028
379	629	1026
380	630	1023
381	631	1021
382	633	1019
383	634	1017
384	635	1015
385	636	1012
386	637	1010
387	639	1008
388	640	1006
389	642	1004
390	643	1001
391	644	999
392	645	997
393	647	995
394	648	993
395	650	992
396	651	989
397	652	987
398	654	985
399	655	983
400	657	981
401	658	979
402	659	977
403	660	974
404	662	973
405	663	970
406	664	968
407	665	966
408	667	963
409	668	962
410	670	960
411	671	958
412	672	955
413	673	953
414	674	951
415	676	949
416	677	947
417	679	945
418	680	943
419	681	941
420	682	938
421	684	937
422	685	935
423	687	933
424	688	931
425	689	929
426	691	927
427	692	925
428	694	923
429	695	922
430	697	920
431	698	919
432	700	917
433	701	915
434	702	912
435	704	910
436	705	908
437	706	907
438	708	904
439	709	902
440	710	900
441	711	898
442	712	896
443	714	894
444	715	892
445	717	890
446	718	888
447	719	886
448	721	885
449	722	883
450	724	881
451	725	879
452	726	877
453	728	875
454	729	874
455	731	872
456	732	870
457	734	869
458	735	867
459	737	865
460	738	863
461	739	861
462	741	859
463	742	857
464	743	855
465	745	854
